email,username,full_name,department_id,position_id
nguyenvanan@gmail.com,annv,Nguyen Van An,22,1
tranthingoc@gmail.com,ngoctt,Tran Thi Ngoc,4,2
lehoangnam@gmail.com,namlh,Le Hoàng Nam,5,1
phamminhduc@gmail.com,ducpm,Pham Minh Duc,22,4
hoangthimai@gmail.com,maiht,Hoang Thi Mai,1,3
vuvanti@gmail.com,tivv,Vu Van Ti,16,1
buituongvy@gmail.com,vybt,Bui Tuong Vy,6,2
dangquocbao@gmail.com,baodq,Dang Quoc Bao,17,4
nguyenthanhha@gmail.com,hant,Nguyen Thanh Ha,2,3
doanthidiem@gmail.com,diemdt,Doan Thi Diem,4,2
